ArticleId:start:stop, Happiness, HarmVirtue, HarmVice, FairnessVirtue, FairnessVice, IngroupVirtue, IngroupVice, AuthorityVirtue, AuthorityVice, PurityVirtue, PurityVice, MoralityGeneral, bias_count, assertives_count, factives_count, hedges_count, implicatives_count, report_verbs_count, positive_op_count, negative_op_count, wneg_count, wpos_count, wneu_count, sneg_count, spos_count, sneu_count, TTR,vad_neg,vad_neu,vad_pos,FKE,SMOG,stop,wordlen,WC,quotes,Exclaim,AllPunc,allcaps,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,WP$,WRB,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,avg_word_sim,avg_sent_sim,x_y,x_2,y_2,PropagandaTechnique
111111113:3082:3099,4.913333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1,0,1,0,20.59,10.74596669,0,5.666666667,3,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57576237,0.54096398,0.220433854,0,0.207111095,"Name_Calling,Labeling"
111111113:3828:3985,5.054285714,0,0.041666667,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0.083333333,0,0,0,0.083333333,0.041666667,0,0.954545455,0.237,0.763,0,16.59,18.49193338,0.416666667,7.214285714,24,4.166666667,0,4.166666667,0,0,0,0.136363636,0,0,0.227272727,0.045454545,0,0,0,0,0.136363636,0.136363636,0,0.045454545,0,0,0,0.045454545,0,0,0,0,0,0.045454545,0,0,0,0.090909091,0,0.045454545,0.045454545,0,0,0,0,37.5,4.166666667,4.166666667,0,0,0,0,4.166666667,0,8.333333333,0,0,0,0,0,0,20.83333333,4.166666667,0,0,0,0,4.166666667,0,0,0,8.333333333,0,8.333333333,0,0,0,8.333333333,0,0,0,0,0,4.166666667,4.166666667,0,0,0,0,0,0,0,0,0,0,16.66666667,0,8.333333333,8.333333333,0,0,0,0,0,0,0,0,0,0,0.3753626,0.54096398,0.143709678,0.545616156,0.207111095,Whataboutism
111111113:361:469,4.273333333,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.066666667,0,0.333333333,0.2,0,0,0.133333333,0,0,1,0.561,0.439,0,17.6185,16.41640786,0.2,7.25,15,0,0,6.666666667,0,0.076923077,0,0,0,0,0.153846154,0.153846154,0,0,0,0,0.307692308,0.076923077,0.076923077,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,6.666666667,0,0,0,0,0,0,0,0,6.666666667,0,6.666666667,0,6.666666667,0,6.666666667,0,0,0,0,0,0,6.666666667,0,0,0,0,0,0,0,0,0,0,6.666666667,0,6.666666667,0,0,0,0,0,0,0,6.666666667,0,0,0,0.801863923,0.54096398,0.306998102,2.291119201,0.207111095,Causal_Oversimplification
111111113:3580:3741,5.164210526,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0.032258065,0,0,0,0.032258065,0.032258065,0.032258065,0.064516129,0,0,0,0.964285714,0.14,0.825,0.035,12.6086,13.95445115,0.35483871,5.1,31,3.225806452,0,6.451612903,0.032258065,0,0,0.107142857,0,0,0.178571429,0,0,0,0,0.035714286,0.107142857,0,0.107142857,0,0,0,0.071428571,0,0.107142857,0,0,0,0,0.035714286,0,0,0,0.035714286,0.035714286,0.035714286,0.107142857,0.035714286,0,0,0,51.61290323,6.451612903,6.451612903,0,3.225806452,0,3.225806452,0,0,6.451612903,16.12903226,12.90322581,6.451612903,6.451612903,0,6.451612903,16.12903226,6.451612903,0,0,0,0,9.677419355,0,0,0,0,0,0,0,0,0,12.90322581,0,0,6.451612903,3.225806452,0,3.225806452,3.225806452,3.225806452,0,0,0,0,0,0,0,0,0,12.90322581,0,9.677419355,3.225806452,0,0,0,0,0,0,0,0,0,0,0.776854797,0.54096398,0.297423218,1.488667642,0.207111095,Causal_Oversimplification
111111113:4865:5007,4.995714286,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0.043478261,0,0,0,0.086956522,0.086956522,0.043478261,0.086956522,0,0,0,1,0.071,0.668,0.261,12.8355,13.95445115,0.391304348,6.785714286,23,0,0,4.347826087,0,0.045454545,0,0.045454545,0,0,0.136363636,0.181818182,0,0,0,0.045454545,0.136363636,0.090909091,0.045454545,0,0,0,0.045454545,0,0.090909091,0,0,0,0,0,0,0,0,0.045454545,0.045454545,0,0.045454545,0,0,0,0,47.82608696,4.347826087,0,0,0,0,0,0,4.347826087,4.347826087,13.04347826,13.04347826,4.347826087,0,4.347826087,4.347826087,13.04347826,4.347826087,4.347826087,0,0,0,0,0,0,0,4.347826087,0,4.347826087,4.347826087,0,0,17.39130435,4.347826087,0,4.347826087,0,0,0,4.347826087,4.347826087,0,0,0,0,0,0,0,0,0,17.39130435,0,13.04347826,4.347826087,0,0,0,0,0,0,0,0,0,0,1.385975677,0.54096398,0.530628564,0,0.207111095,Causal_Oversimplification
111111113:5743:5774,5.87,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,1,0.366,0.297,0.337,7.6,8.477225575,0.333333333,6,6,0,0,16.66666667,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.538609538,0.54096398,2.120487738,0,0.207111095,Loaded_Language
111111113:5775:5791,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-6.5533,3,0,3,5,20,20,20,0.6,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,6.889387345,0.54096398,4.693953413,1.37476903,0.368575548,Slogans
111111113:259:280,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0,1,0.623,0.377,0,9.18,8.477225575,0.333333333,8,3,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,33.33333333,0,33.33333333,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56201199,0.54096398,7.8775576,7.881688454,0.368575548,Loaded_Language
111111113:3658:3664,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8.4,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.68603597,0.54096398,23.6326728,0,0.368575548,Loaded_Language
111111113:5556:5580,4.3,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,1,0.589,0.411,0,-2.23,3,0,5,4,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.680068626,0.54096398,5.914000144,31.07172146,0.368575548,"Name_Calling,Labeling"
111111122:170:206,6.02,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,1,0,0.58,0.42,9.96,10.74596669,0.2,7,5,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0.256224176,0.557005039,0.174573483,0,0.37950482,"Exaggeration,Minimisation"
111111122:3490:3521,5.486666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,1,0,1,0,20.98,12.48683298,0,9.333333333,3,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426417741,0.557005039,0.350420857,0.345900644,0.457734668,"Exaggeration,Minimisation"
111111122:5029:5062,4.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0,1,0.289,0.482,0.229,-1.45,3,0.375,3.8,8,0,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,37.5,12.5,0,0,0,0,0,0,12.5,12.5,12.5,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0.654701075,0.557005039,0.538019153,2.376372995,0.457734668,"Name_Calling,Labeling"
111111122:5952:5983,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,1,0,1,0,12.52,3,0,7,4,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925131631,0.557005039,0.760253122,2.7059102,0.457734668,Loaded_Language
111111122:5133:5143,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,1,0.767,0.233,0,2.89,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2.974430979,0.557005039,2.444322907,13.40152706,0.457734668,Loaded_Language
111111122:903:921,5.565,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1,0,1,0,8.79,8.477225575,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.324525503,0.557005039,1.088466349,7.092608885,0.457734668,"Name_Calling,Labeling"
111111122:24:49,5.292,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.67,8.477225575,0.166666667,4,6,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,16.66666667,0,0,0,16.66666667,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,1.468552036,0.557005039,1.206824232,5.856329054,0.457734668,Loaded_Language
111111122:449:478,4.713333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0,0,1,0.383,0.617,0,0.5167,3,0.5,4.333333333,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,16.66666667,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,16.66666667,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,1.526545641,0.557005039,1.25448212,27.43234056,0.457734668,Doubt
111111122:889:957,5.25,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0.090909091,0,0,0,0.090909091,0.090909091,0,1,0.259,0.741,0,11.52,13.95445115,0.272727273,6.75,11,0,0,0,0,0,0,0.222222222,0,0,0.111111111,0.222222222,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,27.27272727,0,0,0,0,0,0,0,0,18.18181818,0,0,0,0,0,0,9.090909091,9.090909091,0,0,0,0,0,0,0,0,9.090909091,0,9.090909091,0,0,0,9.090909091,9.090909091,0,0,0,0,0,0,0,0,0,0,0,9.090909091,0,9.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.058873598,0.557005039,0.870159372,22.99607232,0.457734668,Doubt
111111122:3414:3441,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,1,0,1,0,0.52,3,0.285714286,3.6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,28.57142857,14.28571429,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,14.28571429,14.28571429,0,0,0,0,0,0,0,0,0,2.489480943,0.557005039,2.045801479,41.65572102,0.457734668,Doubt
111111122:1476:1523,5.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125,0,0,0,0,1,0.236,0.545,0.218,9.655,10.74596669,0.375,6.6,8,0,0,0,0,0,0,0.125,0,0,0.25,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,62.5,25,12.5,0,0,0,12.5,0,12.5,0,12.5,12.5,0,12.5,0,12.5,25,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,25,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,2.193039519,0.557005039,1.802192342,16.33820921,0.457734668,Doubt
111111122:3993:4049,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,1,0.248,0.752,0,1.5727,3,0.454545455,5,11,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0.181818182,0.090909091,0.181818182,0,0,0,0,0.181818182,0,0,0,0,0,0.090909091,0,0,0,0.090909091,0.090909091,0,0,0,0,0,0,36.36363636,9.090909091,9.090909091,0,0,0,0,9.090909091,0,0,9.090909091,9.090909091,0,9.090909091,0,0,9.090909091,9.090909091,0,0,0,0,18.18181818,0,0,0,9.090909091,0,9.090909091,0,0,9.090909091,9.090909091,0,0,0,0,0,0,9.090909091,0,9.090909091,9.090909091,0,0,0,0,0,0,0,0,0,0,0,27.27272727,9.090909091,0,0,0,0,0,0,0,0,1.921315811,0.557005039,1.578895688,15.92663921,0.457734668,Doubt
